id,make,model,year,cylinders,engine_displacement,drive,fuel_type,fuel_cost,fuel_type1,transmission,vehicle_size_class,you_save_spend,annual_petroleum_consumption,fetch_date,fiyat
40730,Toyota,Tacoma 2WD,2019,6,3.5,Rear-Wheel Drive,Regular,2550,Regular Gasoline,Automatic (S6),Small Pickup Trucks 2WD,-3250,14.1671,2024-11-12 23:34:21,41587.00
41269,Porsche,Panamera Turbo Executive,2019,8,4,All-Wheel Drive,Premium,3200,Premium Gasoline,Automatic (AM-S8),Large Cars,-6500,14.1671,2024-11-12 23:34:21,83411.00
42831,Rolls-Royce,Wraith,2021,12,6.6,Rear-Wheel Drive,Premium,4800,Premium Gasoline,Automatic (S8),Midsize Cars,-14500,21.2507,2024-11-12 23:34:21,45644.00
43059,Mercedes-Benz,AMG GLA35 4matic,2021,4,2,4-Wheel Drive,Premium,2700,Premium Gasoline,Automatic (AM8),Small Station Wagons,-4000,11.9004,2024-11-12 23:34:21,62280.00
45210,Genesis,GV80 AWD,2023,6,3.5,All-Wheel Drive,Premium,3350,Premium Gasoline,Automatic (S8),Standard Sport Utility Vehicle 4WD,-7250,14.8755,2024-11-12 23:34:21,79441.00
46186,Ford,Ranger 4WD,2023,4,2.3,Part-time 4-Wheel Drive,Regular,2550,Regular Gasoline,Automatic (S10),Standard Pickup Trucks 4WD,-3250,14.1671,2024-11-12 23:34:21,53643.00
31342,Nissan,Altima Coupe,2012,4,2.5,Front-Wheel Drive,Regular,2050,Regular Gasoline,Automatic (AV-S6),Subcompact Cars,-750,11.4427,2024-11-12 23:34:21,79482.00
31473,Chevrolet,Traverse FWD,2012,6,3.6,Front-Wheel Drive,Regular,2850,Regular Gasoline,Automatic 6-spd,Sport Utility Vehicle - 2WD,-4750,15.6584,2024-11-12 23:34:21,50614.00
32433,Chevrolet,Express 1500 2WD Conversion Cargo,2013,8,5.3,Rear-Wheel Drive,Gasoline or E85,3850,Regular Gasoline,Automatic 4-spd,"Vans, Cargo Type",-9750,21.2507,2024-11-12 23:34:21,82002.00
33717,Honda,Odyssey,2014,6,3.5,Front-Wheel Drive,Regular,2450,Regular Gasoline,Automatic 6-spd,Minivan - 2WD,-2750,13.5232,2024-11-12 23:34:21,49194.00
